"Class","socnumber_0","socnumber_1","socnumber_2","socnumber_3","socnumber_4","socnumber_5","socnumber_6","socnumber_7","socnumber_8","socnumber_9","socnumber_10","socnumber_11","socnumber_12","socnumber_13","socnumber_14","socnumber_15","socnumber_16","socnumber_17","socnumber_18","socnumber_19"
1,0.352127978678,0.351666260684,0.355451100642,0.339220055794,0.333153754839,0.344652366379,0.322010727862,0.330179824675,0.329300982646,0.331381821739,10054.466951,9411.76068376,9406.11991435,9617.03648069,8832.86236559,9551.63577586,8588.97840173,9184.77489177,8941.9154013,9589.46521739
1,0.365128961373,0.365373972043,0.364737081897,0.356331939525,0.338737831169,0.371965893709,0.351581126087,0.347209433551,0.361335017467,0.368903719912,9819.13090129,9284.95268817,9685.70905172,9853.55507559,9059.99134199,10032.9522777,8849.72826087,9162.24836601,9168.22707424,9938.26695842
1,0.363092130621,0.369646032189,0.3574108,0.340238967672,0.343055613391,0.352465352814,0.326376438178,0.335761941304,0.351212649237,0.363017746725,10268.3811563,9774.90987124,9601.54408602,9976.79741379,9333.30453564,9805.80519481,8700.4164859,9190.00434783,9424.48148148,10167.8056769
1,0.364106681507,0.380298437393,0.346266189003,0.352428607573,0.366813501724,0.365349499136,0.331532750865,0.355460331023,0.373053545139,0.323170024348,9446.72431507,9511.67753002,9365.66666667,9633.32358003,9308.34655172,9207.91537133,8804.4982699,9296.2270364,9293.64930556,8510.36695652
1,0.364674289384,0.381158715266,0.331976652921,0.344418745267,0.37147942069,0.364637196891,0.347604065744,0.358659731369,0.384332114583,0.335789410435,9725.875,10188.8610635,9444.12714777,9611.91394148,9617.81206897,9738.61139896,9204.84256055,9409.72270364,9677.84201389,9056.1373913
1,0.392354683367,0.384508317269,0.366023476861,0.367123677419,0.384653911111,0.369062255061,0.362873024341,0.383496424797,0.367660474542,0.369289508163,9740.70140281,9551.81124498,9247.17102616,9505.96774194,10141.4848485,9190.84210526,9429.03245436,9467.86382114,9306.65376782,9358.72653061
1,0.351613696498,0.371491499025,0.363419628906,0.349091150685,0.381170286275,0.361480394892,0.367881996063,0.367302145957,0.384415464427,0.365929152475,9813.32879377,9823.75438596,10050.6972656,9733.66927593,9904.04901961,9735.68762279,9601.24212598,10088.642998,10137.2371542,9901.00792079
1,0.361484263285,0.377652070218,0.353546936893,0.373853060827,0.362984897561,0.379311892421,0.350786926471,0.371289287469,0.355200507389,0.404482118519,9624.42512077,9714.17433414,9243.5776699,9246.92457421,9189.47073171,9322.18581907,9183.98529412,8978.57002457,8885.59359606,9723.48641975
1,0.372530257282,0.377759389294,0.344079131707,0.344855154034,0.353127463235,0.362556299754,0.351603633005,0.360241037037,0.335747334158,0.386966473945,9607.94174757,9900.01946472,9551.52439024,9221.77261614,9014.06372549,9310.37837838,9287.67980296,9171.14567901,8904.77475248,9799.89081886
1,0.395767494357,0.394754776018,0.37802493424,0.383548738636,0.376455580866,0.415365171233,0.374404414188,0.36871012844,0.356019448276,0.383783799539,10665.7155756,10306.2511312,10309.9092971,10441.1204545,10681.5353075,11063.4086758,9958.6979405,9996.44495413,10031.5655172,10291.0184332
1,0.398585440181,0.400218402715,0.387296145125,0.402977184091,0.383072742597,0.42042190411,0.376029308924,0.36872659633,0.369655174713,0.403627884793,10653.4243792,10104.081448,10327.4875283,10852.95,10550.6514806,11019.7990868,10126.2128146,9963.93577982,9817.74022989,10373.1728111
1,0.382645017073,0.404663569682,0.405130022059,0.407493412776,0.369741399015,0.383369032099,0.396172559406,0.374335563275,0.378220664179,0.371153992519,9662.75609756,10171.3178484,10292.2058824,10095.1547912,9744.05418719,10008.5308642,9711.29455446,9441.45409429,9557.87064677,9234.23441397
1,0.399114757485,0.40127739039,0.399459993976,0.415110102719,0.382923054545,0.355936519757,0.380586246951,0.397511376147,0.410624745399,0.411496812308,10322.2365269,10710.3783784,10197.9427711,10288.2326284,10401.7121212,9486.27963526,9691.85060976,9721.90519878,10253.7423313,10544.3353846
1,0.38357721131,0.411963071642,0.395396233533,0.371112636637,0.362329466867,0.369165622356,0.379739727273,0.409534702128,0.400247484756,0.389303623853,9989.57738095,10660.558209,10047.4011976,9886.77777778,9624.94277108,9278.15407855,9446.23333333,10111.5440729,9745.46341463,9880.01223242
1,0.360146352298,0.358604649123,0.344561525275,0.334828215859,0.363858578366,0.340660451327,0.344278299335,0.348106302222,0.372925097996,0.36051915625,9647.58643326,9925.4122807,9946.03516484,9311.97577093,9843.90728477,9241.97345133,9187.24168514,9195.83555556,10099.6815145,9848.99776786
1,0.360168256659,0.375912633495,0.383645982968,0.34156794878,0.38307602934,0.364004210784,0.371264579853,0.366796118227,0.391788728395,0.393263767327,9936.73849879,10334.184466,10275.9148418,9360.20243902,10544.3447433,9923.79901961,9644.53808354,9567.90394089,10347.1679012,10153.8960396
1,0.383960040268,0.378277809417,0.383144393258,0.378573966216,0.376283320542,0.399376052036,0.368721798186,0.385605554545,0.354872687927,0.377290888128,10273.3333333,10308.2264574,9747.24494382,10258.7094595,10301.0790068,10608.8574661,10002.3764172,9698.99318182,9397.32118451,10080.6438356
1,0.358946442953,0.363177358744,0.370461683146,0.343343002252,0.368265009029,0.343916588235,0.347707920635,0.352696579545,0.378102949886,0.365963582192,10247.2013423,9837.91928251,10341.988764,9203.96171171,10135.51693,9680.23529412,9190.4399093,9187.30454545,10209.1116173,9679.19178082
1,0.340927294118,0.375716268852,0.345487950658,0.347681732673,0.364626884106,0.372196607973,0.34708027,0.356086779264,0.348527577181,0.378779158249,8461.14379085,9300.72786885,9086.95723684,8956.84818482,9787.09271523,9576.89368771,8950.98,8666.85618729,8585.96644295,9635.98653199
1,0.313180143322,0.364034915033,0.339811272131,0.336142552632,0.348758547855,0.362193791391,0.352190727575,0.32381712,0.34723606689,0.363084483221,8681.07166124,9582.30392157,9062.90819672,9041.39802632,9639.56765677,9459.15231788,9524.08637874,8637.36333333,8518.51170569,9523.51677852
1,0.332719488,0.345291093583,0.329830715818,0.323218895161,0.310959045822,0.332488672973,0.338222357724,0.347744130435,0.341724495913,0.336010625683,9301.224,9156.97058824,9444.57908847,8884.26344086,8956.10242588,9277.61621622,8500.94579946,9226.375,8889.32425068,9065.03005464
1,0.337045760638,0.356498381333,0.341379395722,0.337215938338,0.336889900538,0.319941070081,0.33263977027,0.356777349593,0.358311793478,0.338780013624,9108.60904255,9549.648,9300.76470588,9095.89276139,9054.1827957,8903.48787062,8839.08108108,9292.80758808,9017.82065217,9161.44141689
1,0.332891652291,0.380524405405,0.339656666667,0.325848182065,0.352860771117,0.349083693989,0.343968909589,0.348671175824,0.368847449036,0.35128991989,8977.70080863,9954.88918919,9748.7100271,9027.58152174,9702.13623978,9130.43715847,9294.15616438,9202.42032967,9307.83195592,8997.33701657
1,0.35907509589,0.39696206044,0.373820132231,0.369582024862,0.3707686759,0.376720636111,0.36285851532,0.335974648045,0.398945826331,0.404732719101,9880.80821918,10551.3598901,9883.29752066,9853.46961326,10252.601108,9709.19166667,9372.4735376,9342.0726257,10049.1792717,10347.1235955
1,0.359028323718,0.370665061093,0.352800125806,0.360190110032,0.360275863636,0.390746452769,0.350620248366,0.341656704918,0.374007782895,0.363487663366,10331.9775641,10137.659164,10335.1322581,10564.2071197,10164.0454545,10527.9185668,10205.9607843,9449.59016393,10726.7993421,10158.1353135
1,0.355095437309,0.358001717791,0.346898012308,0.365036780864,0.350173934985,0.339939835404,0.356299501558,0.3467701125,0.352494774295,0.343732172956,9847.25993884,9780.42638037,9746.43076923,10104.7160494,8976.6130031,9923.73602484,10033.9034268,9615.75,9960.0815047,9657.11949686
1,0.367578307918,0.393131423529,0.387036117994,0.341321431953,0.404699388724,0.396331747024,0.38330778806,0.367681146707,0.372346303303,0.359391138554,9261.89442815,9847.47352941,9566.65781711,8647.05621302,9959.80118694,10132.672619,10408.361194,9346.63173653,9136.28528529,8765.34036145
1,0.410010736264,0.445761488889,0.33339047191,0.389860534091,0.417872827586,0.397965546512,0.361878458824,0.37387202381,0.44051646988,0.425924,10504.5714286,11092.3666667,7870.5505618,9044.57954545,9949.16091954,8876.68604651,9624.08235294,8563.82142857,9445.02409639,9250.65853659
1,0.425619766667,0.418645764045,0.324237806818,0.392495885057,0.415665418605,0.403293623529,0.368099797619,0.37484246988,0.448572926829,0.405580506173,10689.9555556,10118.0674157,7200.18181818,9164.59770115,9538.63953488,8545.47058824,8710.13095238,9053.57831325,9583.56097561,8816.01234568
1,0.353020569444,0.350865496503,0.349474169014,0.360913666667,0.359567964286,0.354386043165,0.375637166667,0.381902510949,0.338887720588,0.350578111111,9581.45138889,9308.27272727,8502.73239437,9410.70921986,9597.18571429,9058.64748201,9744.52898551,9651.67153285,9533.88235294,8986.84444444
1,0.435393271868,0.394809883886,0.39786628266,0.364781280952,0.402445544153,0.405146906699,0.398504729017,0.370555141827,0.415315715663,0.388674717391,10268.9527187,9381.27962085,9891.99287411,8490.53095238,9467.14319809,9834.63397129,9006.08153477,8720.83894231,9600.06506024,9357.2173913
1,0.430806936321,0.391944591017,0.382085203791,0.354802631829,0.391693835714,0.404194556086,0.39170242823,0.378345743405,0.371522752404,0.414606985542,10323.2617925,9219.79432624,9557.7014218,8247.81947743,9371.10238095,9826.98090692,8605.09569378,8827.13908873,8992.11298077,9846.61445783
1,0.40776306338,0.389040910588,0.38886971934,0.350070101655,0.382033298578,0.38153364133,0.383601471429,0.367768362768,0.36860315311,0.369805640288,10542.4765258,9684.38352941,10160.0566038,8164.69976359,9337.09241706,9914.91448931,9499.54047619,8649.60381862,9202.89712919,9577.58992806
1,0.385266033141,0.385511367965,0.37790242052,0.360940696093,0.379592011594,0.388364404935,0.374136972384,0.382283931587,0.382277370262,0.384263077372,9711.19308357,9850.53823954,9445.30924855,8773.56874096,9529.32173913,9562.84615385,9382.86482558,9596.19068413,9561.13994169,9557.73868613
1,0.388075390173,0.384033114327,0.376354872464,0.346576764877,0.3832454375,0.381797098981,0.367344638484,0.370658640876,0.373212611111,0.39052247877,10006.8540462,9904.9015919,9579.14637681,8736.03773585,10020.7093023,9740.61572052,9465.68804665,9527.82919708,9630.3245614,9561.07027818
1,0.385185065029,0.380607363242,0.385206755072,0.349398824383,0.376985318314,0.384224935953,0.371221144315,0.384525108029,0.366137197368,0.390256471449,9576.4234104,9359.15050651,9391.93188406,8613.52830189,9785.57412791,9585.20378457,9431.04956268,9407.84817518,9310.9619883,9622.83894583
1,0.391107659864,0.425919324232,0.407760462329,0.358945082474,0.390856672414,0.421958356401,0.403728586806,0.405251550523,0.413610440559,0.39490325614,9392.41836735,10204.0477816,9552.11986301,8819.3161512,9689.85172414,10114.8615917,9751.78125,9314.29268293,9476.3951049,9148.19649123
1,0.381331443686,0.411873739726,0.408756233677,0.362747717241,0.392015314879,0.380785138889,0.397017557491,0.385451216783,0.382355975439,0.411467732394,9293.66894198,10249.6917808,9706.38831615,8575.53448276,9577.23529412,9693.00694444,9452.63414634,9135.3006993,9280.9754386,9537.07394366
1,0.419647630137,0.420572216495,0.419553327586,0.349718176471,0.405676149306,0.417072519164,0.411552853147,0.402585582456,0.413777059859,0.408938667845,9617.58219178,10195.0309278,9705.55862069,8183.8200692,9618.81944444,9950.20905923,9798.21678322,9435.43157895,9561.52112676,9359.18727915
1,0.387399194203,0.376954645349,0.388817262391,0.345242102339,0.379543956012,0.363766214706,0.369264241888,0.355885156805,0.381602807122,0.361443994048,9510.42608696,9466.80523256,9619.23323615,9228.04093567,9719.53079179,9422.46176471,9749.75221239,9017.93491124,9727.23738872,9030.88095238
