"Class","acc_0","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17"
1,-0.06821054,-0.13900998,0.01368098,-0.05297192,-0.05519942,-0.0307297,0.08526416,-0.01247667,0.17290368,-0.03429077,-0.02353321,0.00174653,0.03690062,-0.01167908,0.10696286,-0.01598306,0.05179684,-0.06224781
1,-0.06161657,-0.04993706,-0.01109261,-0.00285307,-0.05187685,-0.02645364,0.04702288,0.06346994,0.05262106,-0.03628865,0.0029518,0.02183035,0.01615952,-0.01514453,0.03629087,0.02747518,-0.01775616,0.03701669
1,-0.08199237,-0.08076223,-0.01513986,0.04674797,-0.04724215,-0.0293033,0.09432318,0.04516867,0.05231472,0.00742072,0.03380136,-0.01649864,-0.00316089,-0.01703898,0.00992365,0.01990654,-0.02855935,0.03259668
1,-0.06338272,-0.05401944,-0.013975,0.00711752,-0.0604467,0.02200595,0.04738942,0.08821918,0.05585112,-0.0472801,-0.00287422,0.0105317,0.02319046,-0.04319832,0.04446911,0.03569253,-0.02874171,0.02104813
1,-0.02558418,0.01068052,-0.0306542,-0.23570645,-0.17897417,-0.01203692,0.03910469,-0.02361969,-0.0589518,0.01223746,0.07994758,-0.05873203,0.16196444,0.11540808,0.22579422,-0.07918207,0.02388007,0.03274274
1,-0.04868323,0.00068964,-0.03246224,-0.1861902,-0.15582804,-0.01091435,0.05077368,-0.07201258,-0.0493857,0.06823424,0.11254574,-0.09203185,0.11578011,0.09126369,0.22221528,-0.09125185,-0.01911836,0.06460798
1,-0.03388446,-0.06058447,-0.03757909,-0.16538015,-0.13521416,-0.01059188,0.06824694,-0.01512754,-0.02386079,-0.0011018,0.06937815,-0.06603854,0.11551693,0.06778574,0.2009844,-0.03135336,0.00537635,0.01789884
1,-0.07878917,-0.02035006,-0.08478767,-0.07209318,-0.06187765,0.03689941,0.10099452,0.04062093,-0.01441516,-0.02223332,0.12461061,-0.10989054,0.06157481,0.00855629,0.10481479,-0.02844557,-0.09160634,0.08583482
1,-0.07209531,-0.07546163,-0.11724468,0.03399101,-0.03898461,-0.13318424,0.00382037,0.0526592,0.1231064,-0.0846294,0.06825212,0.01361607,0.03337649,0.01280605,0.02728296,-0.00911452,0.08058454,-0.12078215
1,-0.01038177,0.00798073,0.04523116,0.01728376,-0.02483701,0.02835804,0.01744697,0.01411653,-0.03299195,0.02806379,0.01591475,-0.00184475,-0.02394069,-0.08843015,0.08180312,0.01783767,-0.0471373,0.03692508
1,0.01931511,-0.00211673,0.06131261,-0.06857103,-0.043612,-0.16102345,0.01313807,-0.04200169,-0.13173924,0.11159467,0.14651354,-0.15473495,0.06315263,0.08179099,0.06351056,-0.03502303,0.16576974,-0.13332037
