"Class","edp_0","edp_1","edp_2","edp_3","edp_4","edp_5","edp_6","edp_7","edp_8","edp_9","edp_10","edp_11","edp_12","edp_13","edp_14","edp_15","edp_16","edp_17","edp_18","edp_19"
1,1.69087611607,2.13607700893,2.22000558036,2.39946986607,2.29361049107,1.91760602679,2.23546316964,2.35304129464,2.34232700893,2.23786272321,2.16782924107,2.16509486607,1.99595424107,2.45465959821,2.68579799107,1.71498325893,1.60728236607,3.72843191964,2.18853236607,1.91319754464
1,1.714453125,2.23125,2.23543526786,2.53599330357,2.42522321429,2.0140625,2.25496651786,2.425390625,2.44536830357,2.191015625,2.203125,2.19363839286,2.05256696429,2.46411830357,2.837109375,1.68872767857,1.64302455357,3.55530133929,2.22527901786,1.93108258929
1,2.21787148594,2.52248995984,2.90692771084,2.94899598394,2.9343373494,2.39668674699,2.73393574297,2.9702811245,2.95863453815,2.66736947791,2.43012048193,2.82048192771,2.59789156627,2.71516064257,3.02931726908,2.1453815261,1.94738955823,4.29658634538,2.43534136546,2.38634538153
1,2.21967131474,2.49337649402,2.87514940239,2.78052788845,2.72514940239,2.17863545817,2.7905876494,2.77744023904,2.79277888446,2.68779880478,2.38809760956,2.82196215139,2.36847609562,2.70682270916,2.92325697211,2.00393426295,1.89008964143,4.06419322709,2.46588645418,2.35293824701
1,2.1481,2.6328,2.8776,2.8608,2.7573,2.3493,2.8025,2.9027,2.8251,2.7039,2.4565,2.7826,2.4069,2.8051,3.0006,2.106,1.8473,4.1433,2.445,2.4184
1,3.55427631579,4.03344298246,3.46835526316,4.54800438596,3.61125,3.5638377193,4.32703947368,4.04480263158,3.57335526316,3.91199561404,3.76002192982,3.48208333333,3.63870614035,3.66186403509,4.17875,3.01853070175,2.7836622807,4.52050438596,3.33743421053,3.49339912281
1,3.39870614035,3.92375,3.32747807018,4.43234649123,3.51247807018,3.4386622807,4.04993421053,4.01493421053,3.53953947368,3.80234649123,3.67853070175,3.42896929825,3.51923245614,3.46989035088,4.10037280702,2.87375,2.67120614035,4.5061622807,3.21993421053,3.49506578947
1,3.3907826087,3.82304347826,3.24469565217,4.42095652174,3.36643478261,3.39634782609,4.08613043478,3.97069565217,3.49808695652,3.72182608696,3.56739130435,3.38382608696,3.40386956522,3.45295652174,4.05904347826,2.90252173913,2.66082608696,4.42191304348,3.2857826087,3.33739130435
1,1.97432065217,2.28892663043,2.00461956522,2.6245923913,2.8078125,2.08308423913,2.69538043478,2.2870923913,2.47296195652,2.41331521739,2.3234375,2.19470108696,2.43695652174,2.41644021739,2.81270380435,1.62649456522,1.63872282609,3.75061141304,2.49612771739,2.07207880435
1,3.2378869969,3.41041021672,3.06188080495,4.17372291022,3.24570433437,2.99647832817,3.92689628483,3.92720588235,3.47070433437,3.52759287926,3.05878482972,3.35700464396,3.13804179567,3.38626160991,3.93858359133,2.67852167183,2.53765479876,4.35568885449,3.08780959752,3.25615325077
1,4.55432242991,4.85846962617,4.28148364486,5.21238317757,4.18019859813,4.11857476636,5.04135514019,4.90829439252,4.24807242991,5.7566588785,5.12464953271,4.68113317757,4.67867990654,4.88154205607,5.03767523364,4.00052570093,4.34357476636,5.26612149533,4.2324182243,5.59433411215
1,4.33032749077,4.44476476015,3.8593404059,4.81455258303,3.88138837638,3.82211715867,4.76427583026,4.53517066421,3.89531826568,5.24407287823,4.67179428044,4.34559501845,4.28152675277,4.48097324723,4.72110239852,3.65906365314,3.98756918819,4.9843404059,3.90362084871,5.16787361624
1,4.70998831776,5.07984813084,4.38235981308,5.34088785047,4.21985981308,4.29351635514,5.21390186916,5.00887850467,4.38300233645,5.88393691589,5.22161214953,4.83878504673,4.76103971963,5.07353971963,5.23884345794,4.15928738318,4.51162383178,5.41612149533,4.37867990654,5.72926401869
1,6.44356303419,6.72727029915,6.15451388889,7.09318910256,6.04543269231,5.67769764957,7.07449252137,7.75536858974,6.67075320513,8.19564636752,6.75130876068,6.56696047009,6.10852029915,6.44863782051,6.61450320513,5.45403311966,5.91482371795,6.66808226496,6.02107371795,7.66744123932
1,6.3327688172,6.65271505376,6.10271505376,6.98889784946,5.94620967742,5.62626344086,6.98852150538,7.62497311828,6.52459677419,8.09825268817,6.6836827957,6.48524193548,6.05701612903,6.29959677419,6.42137096774,5.3989516129,5.84190860215,6.60518817204,5.91900537634,7.54572580645
1,6.21384120172,6.55853004292,6.08106223176,6.95912017167,5.9599248927,5.5482832618,6.86201716738,7.54425965665,6.45740343348,8.01770386266,6.57033261803,6.37827253219,5.99114806867,6.19125536481,6.34957081545,5.31019313305,5.74946351931,6.54232832618,5.8275751073,7.43433476395
1,2.0364922813,2.39412521441,2.32002572899,2.68859348199,2.79309605489,2.11972555746,2.46123499142,2.76732418525,2.61972555746,2.94150943396,2.28670668954,2.31123499142,2.41256432247,2.32495711835,2.718567753,1.92975986278,2.04626929674,3.72439965695,2.16710977702,2.56423670669
1,1.98827186964,2.44037307033,2.35370926244,2.68213979417,2.64736277873,2.02454974271,2.44530445969,2.68029588336,2.62352058319,2.92403516295,2.22429245283,2.22965265866,2.38158233276,2.22377787307,2.70924099485,1.96052744425,2.02004716981,3.6259219554,2.19221698113,2.6009219554
1,2.25657630522,2.95256024096,2.69939759036,3.16767068273,2.98785140562,2.47013052209,2.83333333333,3.00481927711,3.11807228916,3.33539156627,2.6561746988,2.72133534137,2.72796184739,2.62836345382,3.13378514056,2.24071285141,2.3531124498,3.98047188755,2.525,2.83222891566
1,5.99724658869,5.8371588694,5.45138888889,6.34865984405,5.02312378168,4.98589181287,6.17702241715,6.59300682261,4.96917641326,6.273708577,5.64178849903,5.42575536062,4.76274366472,6.10562865497,6.34705165692,4.78150584795,4.95796783626,6.27765594542,5.19096003899,6.20587231969
1,1.68286924939,2.12003631961,2.03407990315,2.44013317191,2.64158595642,1.94128329298,2.27814769976,2.18734866828,2.50514527845,1.99182808717,1.97754237288,1.93819612591,2.17960048426,2.19763922518,2.53855932203,1.59231234867,1.47560532688,3.4485472155,2.17421307506,1.77754237288
1,1.62931873479,2.07852798054,1.97895377129,2.37402676399,2.53728710462,1.85954987835,2.32128953771,2.09787104623,2.43880778589,1.99318734793,1.97183698297,1.95845498783,1.96788321168,2.15918491484,2.59130170316,1.55723844282,1.46301703163,3.275,2.08053527981,1.79361313869
1,2.44555995475,3.34787895928,2.80726809955,3.82231334842,3.263489819,2.52689479638,3.52140837104,3.09606900452,3.30902149321,3.01858031674,2.97140837104,3.10579751131,2.8711821267,3.55596719457,3.79974547511,2.4292138009,2.3066459276,5.10777714932,3.14821832579,2.74437217195
1,2.17446266968,3.02061651584,2.58967760181,3.45721153846,2.99550339367,2.37536764706,3.1905260181,2.83571832579,2.975989819,2.74550339367,2.68967760181,2.76688348416,2.50936085973,3.31484728507,3.52265271493,2.19358031674,2.14210972851,4.68424773756,2.90692873303,2.47457579186
1,1.77741442543,2.65822127139,2.29379584352,2.74275672372,2.88053178484,2.01732885086,2.63120415648,2.63468826406,2.66873471883,2.73499388753,2.52686430318,2.20259779951,2.44746332518,2.63352689487,2.75479828851,1.90259779951,1.85791564792,3.64226772616,2.24972493888,2.52539731051
1,1.87406156156,2.3140015015,2.24087837838,2.77278528529,2.51227477477,2.05108858859,2.54455705706,2.27481231231,2.57098348348,2.14455705706,2.2146021021,2.27676426426,2.35018768769,2.38494744745,2.60131381381,1.76535285285,1.7173048048,3.70754504505,2.22030780781,1.93487237237
1,1.92675373134,2.32257462687,2.23391791045,2.67332089552,2.52421641791,2.00324626866,2.51958955224,2.24175373134,2.63585820896,2.24436567164,2.34832089552,2.25652985075,2.34041044776,2.36787313433,2.61518656716,1.82085820896,1.74235074627,3.7301119403,2.12720149254,2.04175373134
