ac_0,ac_1,ac_2,ac_3,ac_4,ac_5
-0.0088077,0.01654889,0.02435498,-0.12525738,-0.11593506,0.01915248
-0.05061735,-0.02127444,-0.02656866,-0.11844531,-0.12477772,-0.01476094
-0.046181,-0.05168333,0.00506178,-0.0883844,-0.0960981,-0.0095879
-0.07698671,-0.05140883,0.04877496,-0.08300606,-0.0952125,0.02995521
-0.05606674,-0.04490092,0.00584867,-0.1217682,-0.1179617,0.01630455
-0.05006125,-0.04767924,0.00033254,-0.10306755,-0.09452741,-0.00381668
-0.03681999,-0.06198947,0.00890359,-0.00131836,0.00547845,0.02926022
-0.07266864,-0.08514985,0.00142527,0.0399423,0.00061149,0.04946552
0.02944483,-0.05230304,0.00604092,0.00115967,-0.01330878,0.05774595
-0.08378038,-0.07487666,0.01158055,-0.09117711,-0.08950103,-0.01968794
-0.07643585,-0.05590073,0.00761398,-0.01048277,-0.06895952,0.11598053
0.00465392,-0.03244099,0.03047728,-0.15597971,-0.13320968,-0.00734934
-0.15667275,-0.16462982,-0.04347278,-0.0409145,-0.08662399,0.05575126
-0.10945369,-0.09150833,0.03867822,-0.12988699,-0.09379745,0.00081664
-0.01897145,-0.06146348,-0.0021187,-0.06740478,-0.14983809,0.0947389
-0.0268976,-0.03934632,0.05193344,-0.11031545,-0.13754013,0.02321726
-0.09225008,-0.13398597,0.01167686,-0.05997094,-0.12418636,0.0123848
-0.07898118,-0.09775435,0.01464475,-0.03105538,-0.11189373,0.14983475
-0.05572772,-0.04953514,0.03430904,-0.08440179,-0.10383484,0.07489054
-0.03924857,-0.06012859,-0.01423817,-0.16927788,-0.12764671,0.03464953
-0.00787492,-0.0333615,-0.03655948,-0.17394999,-0.11875539,0.0663692
-0.06882113,-0.10326416,0.03514772,-0.08496765,-0.08653265,0.04874804
-0.05444825,-0.07322745,0.03080794,-0.0844252,-0.02043734,0.00886923
-0.05858364,-0.08317176,0.01869967,-0.13238889,-0.08212977,0.07328381
-0.02024233,-0.09959855,0.03688373,-0.12178482,-0.16557748,0.01509184
-0.03937732,-0.08504833,0.00409354,-0.04530598,-0.05420149,0.08852132
-0.02450488,-0.06252922,0.03096965,-0.08220074,-0.06734353,0.06798725
-0.06511628,-0.09479355,0.02180593,-0.03041036,-0.03124837,0.04314946
-0.00377755,-0.03861782,0.03791799,-0.09835373,-0.06406324,0.04927196
-0.15090781,-0.14642726,-0.01808356,-0.1027802,-0.11184959,0.10387353
-0.00598677,-0.02021023,0.0601541,-0.15796539,-0.12888188,0.02013745
-0.00675247,-0.01801678,-0.02989752,-0.11789797,-0.08519358,-0.02565405
-0.00468287,-0.0147367,-0.04456242,-0.07605638,-0.0903527,0.01422814
0.01586111,0.00078479,-0.02785486,-0.10441367,-0.10101533,0.01026922
-0.01575006,-0.01381759,-0.03032727,-0.06989354,-0.07760268,-0.01826748
-0.00909618,-0.03698429,-0.04601109,-0.08975309,-0.10009674,0.02783842
-0.01823486,-0.0701971,0.07187266,-0.03164579,-0.12902718,0.05872073
-0.00982647,-0.02538232,0.00074294,-0.0142928,-0.09017613,0.12241235
-0.04548322,-0.06176231,-0.02873698,-0.03522675,-0.15149185,0.01967382
-0.04932996,-0.08734097,-0.01063711,-0.09054315,-0.17801083,0.09474996
-0.02040596,-0.02949842,0.0094726,-0.08125976,-0.12277946,0.04882458
-0.05862584,-0.08132301,-0.04511556,-0.10425434,-0.17650262,0.08450475
-0.02183109,-0.07180526,0.02752003,-0.09604744,-0.16166297,0.08932668
-0.02081263,-0.05432859,0.0001482,-0.03581151,-0.12577264,0.04331464
0.00549342,-0.04625222,0.00076157,-0.08691993,-0.14230608,0.05750947
-0.06727154,-0.11276077,0.00806982,-0.11602121,-0.17383729,0.04749104
-0.0585662,-0.09600116,-0.00242328,-0.05329141,-0.11290317,0.05199996
-0.01565109,-0.04454167,-0.01685899,-0.16039942,-0.1918361,0.02714773
-0.00727534,-0.01886502,-0.00898419,-0.0655023,-0.03150214,0.02361234
0.01732999,-0.00408742,0.03031971,-0.08597352,-0.12243397,0.05138491
0.04354673,0.03410831,-0.02556746,-0.06688376,-0.06101743,0.05510105
0.03361163,0.00788366,-0.00745173,-0.1164393,-0.13758142,0.02672683
0.0251166,0.02052704,0.00260791,-0.08823116,-0.11305901,0.07453705
0.00371493,0.02059796,0.00254932,-0.10131288,-0.12309626,0.04760803
-0.04887061,-0.05063165,-0.00363122,-0.0758191,-0.05060276,0.05552822
0.04988362,0.0035496,-0.01179295,-0.10329824,-0.11815427,0.03852309
