aac_pssm_0,aac_pssm_1,aac_pssm_2,aac_pssm_3,aac_pssm_4,aac_pssm_5,aac_pssm_6,aac_pssm_7,aac_pssm_8,aac_pssm_9,aac_pssm_10,aac_pssm_11,aac_pssm_12,aac_pssm_13,aac_pssm_14,aac_pssm_15,aac_pssm_16,aac_pssm_17,aac_pssm_18,aac_pssm_19
-1.02127659574,-1.44680851064,-1.65957446809,-1.42553191489,-2.23404255319,-1.07446808511,-0.808510638298,-1.96808510638,-1.3085106383,-0.872340425532,-1.32978723404,-0.808510638298,-0.68085106383,-1.85106382979,-1.67021276596,-1.12765957447,-1.1170212766,-2.72340425532,-1.60638297872,-0.563829787234
-1.1170212766,-1.3829787234,-1.44680851064,-1.36170212766,-2.32978723404,-0.968085106383,-0.808510638298,-1.89361702128,-1.35106382979,-1.02127659574,-1.3829787234,-0.702127659574,-0.776595744681,-2.1170212766,-1.73404255319,-1.12765957447,-1.04255319149,-2.76595744681,-1.74468085106,-0.755319148936
-0.447976878613,-1.5289017341,-2.31791907514,-2.2225433526,-2.13005780347,-1.8063583815,-1.91040462428,-2.23699421965,-1.88150289017,-1.42774566474,-1.53468208092,-2.0,-1.0549132948,-2.45953757225,-2.37283236994,-1.37572254335,-1.37572254335,-3.65895953757,-2.76878612717,-1.04913294798
-0.364145658263,-1.46778711485,-2.21288515406,-2.15966386555,-2.32773109244,-1.78151260504,-1.85154061625,-2.27731092437,-1.8431372549,-1.38655462185,-1.50700280112,-1.88235294118,-1.14005602241,-2.48459383754,-2.27450980392,-1.3025210084,-1.40056022409,-3.64705882353,-2.72268907563,-1.02801120448
-0.409090909091,-1.54261363636,-2.28693181818,-2.15625,-2.30397727273,-1.80681818182,-1.86931818182,-2.22727272727,-1.88636363636,-1.45170454545,-1.60795454545,-1.95738636364,-1.07670454545,-2.51704545455,-2.26420454545,-1.34659090909,-1.34375,-3.76420454545,-2.77840909091,-1.10227272727
-1.42307692308,-2.23076923077,-2.40384615385,-2.35897435897,-3.51282051282,-2.14102564103,-1.72435897436,-2.95512820513,-2.50641025641,-1.19230769231,-1.71153846154,-2.41025641026,-1.26923076923,-2.9358974359,-3.26282051282,-1.78205128205,-1.6858974359,-4.8141025641,-3.23076923077,-0.961538461538
-1.94117647059,-3.01680672269,-3.09243697479,-2.60504201681,-3.87394957983,-2.6974789916,-2.26890756303,-4.08403361345,-3.2268907563,-1.26050420168,-2.0,-2.35294117647,-1.49579831933,-3.42016806723,-4.68907563025,-2.65546218487,-2.31092436975,-5.43697478992,-3.57983193277,-1.7731092437
-0.543307086614,-1.08661417323,-1.38582677165,-1.61417322835,-2.09448818898,-1.10236220472,-1.11811023622,-2.27559055118,-1.66929133858,-1.14173228346,-1.20472440945,-1.20472440945,-0.874015748031,-2.13385826772,-1.87401574803,-1.0,-0.708661417323,-3.14960629921,-2.09448818898,-0.826771653543
-0.203125,-0.75390625,-0.75390625,-0.921875,-1.7890625,-0.76953125,-0.75,-1.072265625,-0.984375,-0.7421875,-1.0625,-0.68359375,-0.703125,-1.46484375,-1.130859375,-0.38671875,-0.3984375,-2.54296875,-1.240234375,-0.484375
0.132450331126,-0.533112582781,-1.23178807947,-0.897350993377,-0.698675496689,-0.745033112583,-0.791390728477,-1.53311258278,-0.241721854305,-1.03642384106,-1.12251655629,-1.29801324503,-0.241721854305,-1.26490066225,-1.27814569536,-0.834437086093,-0.837748344371,-1.2119205298,-1.12251655629,-0.880794701987
-0.556701030928,-1.36082474227,-1.53608247423,-1.51546391753,-2.15463917526,-0.958762886598,-0.927835051546,-2.09278350515,-2.07216494845,-0.979381443299,-1.41237113402,-0.948453608247,-1.10309278351,-2.38144329897,-2.55670103093,-1.0,-0.742268041237,-3.44329896907,-2.18556701031,-0.824742268041
-1.20454545455,-1.75324675325,-2.6038961039,-3.06818181818,-3.53896103896,-1.76623376623,-1.88961038961,-3.43831168831,-1.66883116883,-1.63311688312,-1.43506493506,-2.27597402597,-1.78896103896,-2.51298701299,-3.63311688312,-1.67857142857,-1.71428571429,-4.51623376623,-2.6038961039,-1.73701298701
