acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17
0.01924121,-0.06159776,0.01150428,0.07221265,-0.0441556,-0.00812597,0.04946322,0.00453601,0.06904067,-0.0265517,-0.0038481,-0.00666931,0.02757127,0.00314525,0.02457268,-0.01246139,-0.0445729,0.04844651
-0.00787184,0.00123503,-0.00090811,0.05404638,-0.00330454,0.0449261,0.00124691,0.02344425,0.00856866,-0.00864434,0.00588595,0.02794441,-0.00972143,-0.00464288,-0.01021117,-0.01324868,-0.05350268,0.06582231
0.03904069,-0.04963443,-0.0069907,0.09777441,-0.05046632,-0.02207877,0.02699313,0.02841329,0.04973788,-0.009977,0.0220862,-0.02143912,0.03307984,0.01777595,-0.00179344,-0.00756297,-0.00291045,0.02465278
-0.02411817,-0.03315351,-0.02305902,-0.0365727,-0.08606191,-0.02371998,0.00937703,0.04266594,0.05738742,-0.04500319,0.02853869,0.01427088,0.1000273,0.04974293,0.05516909,-0.0310115,0.03076066,-0.00920149
-0.04477694,-0.04869086,-0.01866814,-0.05377426,-0.08631454,0.01173806,0.04016037,0.02937172,0.03574616,0.00273694,-0.02652514,0.04459395,0.04516663,0.04428829,0.09850064,-0.03834095,-0.03419371,0.04077837
-0.05530617,-0.0359906,-0.05497655,0.02458417,-0.00226852,0.02536858,0.04893837,0.05114897,0.03182134,-0.03557369,0.03403312,-0.00385938,-0.00442604,0.00725804,0.00251866,-0.00749841,-0.05951553,0.04679598
0.01902668,-0.03662465,-0.01219175,0.07539655,-0.03422565,0.01514548,0.03985202,0.0020472,0.02005685,-0.00126176,-0.02493148,-0.01031506,0.01483834,-0.04070265,-0.02282634,0.02533438,-0.05886518,0.04485554
0.06113514,-0.01222101,-0.01599868,0.09008886,0.00211752,-0.01308477,-0.00726099,-0.00791914,-0.00970664,-0.0002219,-0.00057045,-0.00813725,-0.02819192,-0.03323172,-0.03263288,0.00470408,-0.02992883,0.04255758
-0.04660437,-0.00136213,-0.01670679,0.04939451,-0.01030927,0.01453365,-0.02303091,0.02545191,0.07056289,-0.00218088,-0.00387153,0.06382226,0.01685469,-0.04841746,-0.05312236,0.06572722,-0.04885004,0.04817413
-0.07030381,-0.06988227,-0.01716789,-0.03592478,-0.04665948,0.00342633,0.05843848,0.05575946,0.08116008,-0.04826976,0.00725677,0.01018191,0.03027581,0.0266744,0.05478792,-0.01090828,-0.07663464,0.07280316
-0.04775144,-0.04855781,-0.00882899,0.14728035,0.00201917,0.00980876,0.03433822,-0.05117759,0.04855929,0.04910957,0.08475284,-0.06188498,-0.01277854,-0.1457185,-0.09222208,0.06352955,0.04252308,-0.06508346
-0.16780423,-0.09905285,-0.06357374,0.12836955,0.06511327,-0.05180232,0.12300654,-0.01091973,0.11409657,0.01975085,0.22000959,-0.17103014,-0.05905166,-0.05385548,-0.11960971,0.05036009,0.02877127,-0.05052557
-0.1699272,-0.14018065,-0.11993809,0.10700402,0.06261294,0.01390542,0.12432269,-0.03341623,0.15741076,-0.02423635,0.20260306,-0.14748597,-0.10440462,-0.12758724,-0.11411442,0.12198962,0.06628175,-0.08179695
-0.02131464,-0.07781742,-0.00754746,0.14332833,-0.04989885,-0.04265404,0.03816323,-0.05858864,0.03624112,0.0624171,0.07907047,-0.1170614,-0.04559115,-0.04221454,-0.02925541,-0.01239771,0.02397559,-0.04435044
0.1858819,0.03875939,-0.05719397,0.01400583,-0.0313589,-0.02649191,-0.0538726,-0.1023933,-0.15776189,0.14666727,0.04761899,-0.0183783,0.02695054,0.06951637,-0.01288665,-0.06893995,0.02275628,0.0436707
0.03615183,0.00911934,-0.07626177,0.08610038,0.00483351,0.00214088,-0.03149656,-0.08807146,-0.04078692,0.10306903,0.15187359,-0.13650583,-0.11884684,-0.02693584,0.06118961,-0.08697003,-0.00434042,-0.02422849
-0.16965342,-0.15656263,-0.06748314,0.13627194,0.09616383,-7.43e-06,0.16614507,-0.04792878,0.1277593,0.09821498,0.17884057,-0.15079089,-0.11883706,-0.10342904,-0.11984207,0.0713235,0.06774629,-0.07336661
